Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
ARGO_PARNAIBAIII_V3::fence,-3.123209656862077,-41.76454361663183,77.0,"[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]","[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]",-1.1863095779611934,-0.7354618010408267,1.0,1.0,ef_argo_parnaibaiii_v3_fence
ARGO_PARNAIBAIII_V3::plane_simple,-3.1231990000077814,-41.76453699999293,75.0,"[(-3.123203491610258, -41.76454149827674), (-3.1231945084053048, -41.76453250170911)]","[(-3.123203491610258, -41.76454149827674), (-3.1231945084053048, -41.76453250170911)]",-8.661993138905536e-07,7.85956500511265e-07,1.0,1.0,ef_argo_parnaibaiii_v3_plane_simple
ARGO_PARNAIBAIII_V3::DIVERSOS,-3.1232542595239483,-41.76606159998724,84.0,"[(-3.1232587511264254, -41.766066098271054), (-3.1232497679214717, -41.766057101703424)]","[(-3.1232587511264254, -41.766066098271054), (-3.1232497679214717, -41.766057101703424)]",-6.1514263823732165,-169.46462811670742,1.0,1.0,ef_argo_parnaibaiii_v3_diversos
ARGO_PARNAIBAIII_V3::SVC,-3.123209656862077,-41.76454361663183,76.0,"[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]","[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]",-1.1863095779611934,-0.7354618010408267,1.0,1.0,ef_argo_parnaibaiii_v3_svc
ARGO_PARNAIBAIII_V3::casinha_vermelha,-3.123209656862077,-41.76454361663183,76.0,"[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]","[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]",-1.1863095779611934,-0.7354618010408267,1.0,1.0,ef_argo_parnaibaiii_v3_casinha_vermelha
ARGO_PARNAIBAIII_V3::ground,-3.123209656862077,-41.76454361663183,77.0,"[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]","[(-3.123214148464554, -41.76454811491564), (-3.1232051652596002, -41.76453911834801)]",-1.1863095779611934,-0.7354618010408267,1.0,1.0,ef_argo_parnaibaiii_v3_ground
ARGO_PARNAIBAIII_V3::TPC9,-3.123586944335163,-41.76303827653087,79.0,"[(-3.123593931279735, -41.76304605408158), (-3.1235799573905907, -41.763030498980164)]","[(-3.123593931279735, -41.76304605408158), (-3.1235799573905907, -41.763030498980164)]",-43.18551532295921,166.5883625014868,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc9
ARGO_PARNAIBAIII_V3::TPC8,-3.123656999722428,-41.76303815625353,79.0,"[(-3.123663986667, -41.76304593380424), (-3.123650012777856, -41.76303037870282)]","[(-3.123663986667, -41.76304593380424), (-3.123650012777856, -41.76303037870282)]",-50.98400012083669,166.60173174921056,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc8
ARGO_PARNAIBAIII_V3::TPC7,-3.123722705754548,-41.763038043116005,79.0,"[(-3.12372969269912, -41.76304582066671), (-3.1237157188099753, -41.7630302655653)]","[(-3.12372969269912, -41.76304582066671), (-3.1237157188099753, -41.7630302655653)]",-58.29831972732314,166.6143073816804,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc7
ARGO_PARNAIBAIII_V3::TPC6,-3.123592178250056,-41.76585691835376,77.0,"[(-3.123599165194628, -41.76586469590447), (-3.1235851913054837, -41.765849140803056)]","[(-3.123599165194628, -41.76586469590447), (-3.1235851913054837, -41.765849140803056)]",-43.768148683766384,-146.71354770851897,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc6
ARGO_PARNAIBAIII_V3::TPC5,-3.123660602162237,-41.76585680054794,77.0,"[(-3.1236675891068093, -41.76586457809864), (-3.123653615217665, -41.76584902299723)]","[(-3.1236675891068093, -41.76586457809864), (-3.123653615217665, -41.76584902299723)]",-51.38501955961454,-146.7004531783488,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc5
ARGO_PARNAIBAIII_V3::TPC4,-3.123727691704692,-41.76585668548808,77.0,"[(-3.123734678649264, -41.76586446303879), (-3.12372070476012, -41.765848907937375)]","[(-3.123734678649264, -41.76586446303879), (-3.12372070476012, -41.765848907937375)]",-58.85334993873622,-146.68766387250218,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc4
ARGO_PARNAIBAIII_V3::TPC3,-3.123846207751531,-41.76585648173063,77.0,"[(-3.1238531946961032, -41.76586425928134), (-3.1238392208069587, -41.76584870417992)]","[(-3.1238531946961032, -41.76586425928134), (-3.1238392208069587, -41.76584870417992)]",-72.04641938934336,-146.66501551810566,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc3
ARGO_PARNAIBAIII_V3::TPC2,-3.123914315059744,-41.765856364748565,77.0,"[(-3.1239213020043164, -41.76586414229927), (-3.1239073281151724, -41.76584858719786)]","[(-3.1239213020043164, -41.76586414229927), (-3.1239073281151724, -41.76584858719786)]",-79.62804627718432,-146.65201255218744,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc2
ARGO_PARNAIBAIII_V3::TPC1,-3.1239821030568016,-41.765856248315714,77.0,"[(-3.123989090001374, -41.76586402586642), (-3.1239751161122293, -41.76584847076501)]","[(-3.123989090001374, -41.76586402586642), (-3.1239751161122293, -41.76584847076501)]",-87.17412781592411,-146.63907063304148,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc1
ARGO_PARNAIBAIII_V3::TC9,-3.123843607886836,-41.76437294270545,83.0,"[(-3.1238499341409387, -41.76438065017649), (-3.1238372816327336, -41.76436523523441)]","[(-3.1238499341409387, -41.76438065017649), (-3.1238372816327336, -41.76436523523441)]",-71.75700545429571,18.235542859003843,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc9
ARGO_PARNAIBAIII_V3::TC8,-3.123912522348405,-41.76437282421308,83.0,"[(-3.123918848602508, -41.764380531684125), (-3.123906196094303, -41.764365116742034)]","[(-3.123918848602508, -41.764380531684125), (-3.123906196094303, -41.764365116742034)]",-79.42848372147631,18.24871370096472,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc8
ARGO_PARNAIBAIII_V3::TC7,-3.123978858401517,-41.764372710251685,83.0,"[(-3.1239851846556195, -41.76438041772273), (-3.1239725321474148, -41.76436500278064)]","[(-3.1239851846556195, -41.76438041772273), (-3.1239725321474148, -41.76436500278064)]",-86.81293653716136,18.261380909088103,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc7
ARGO_PARNAIBAIII_V3::TC6,-3.1235913458044293,-41.764694576481205,83.0,"[(-3.123597672058532, -41.764702283952246), (-3.123585019550327, -41.76468686901016)]","[(-3.123597672058532, -41.764702283952246), (-3.123585019550327, -41.76468686901016)]",-43.67548179809179,-17.51517775893673,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc6
ARGO_PARNAIBAIII_V3::TC5,-3.1236582616413413,-41.764694461472885,83.0,"[(-3.123664587895444, -41.76470216894393), (-3.123651935387239, -41.76468675400184)]","[(-3.123664587895444, -41.76470216894393), (-3.123651935387239, -41.76468675400184)]",-51.12447547677591,-17.50239418145513,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc5
ARGO_PARNAIBAIII_V3::TC4,-3.123724997364556,-41.764694346756336,83.0,"[(-3.123731323618658, -41.764702054227385), (-3.123718671110453, -41.764686639285294)]","[(-3.123731323618658, -41.764702054227385), (-3.123718671110453, -41.764686639285294)]",-58.553419106642494,-17.48964303545255,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc4
ARGO_PARNAIBAIII_V3::TC3,-3.123844158201984,-41.76469414195194,83.0,"[(-3.1238504844560864, -41.764701849422984), (-3.1238378319478817, -41.7646864344809)]","[(-3.1238504844560864, -41.764701849422984), (-3.1238378319478817, -41.7646864344809)]",-71.81826590096162,-17.46687830933295,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc3
ARGO_PARNAIBAIII_V3::TC2,-3.1239130726635533,-41.76469402351105,83.0,"[(-3.1239193989176557, -41.76470173098209), (-3.123906746409451, -41.764686316040006)]","[(-3.1239193989176557, -41.76470173098209), (-3.123906746409451, -41.764686316040006)]",-79.48974416814411,-17.45371318941798,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc2
ARGO_PARNAIBAIII_V3::TC15,-3.123590400027399,-41.764142596214334,83.0,"[(-3.123596726281501, -41.76415030368538), (-3.1235840737732965, -41.76413488874329)]","[(-3.123596726281501, -41.76415030368538), (-3.1235840737732965, -41.76413488874329)]",-43.57019899139362,43.83936207787649,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc15
ARGO_PARNAIBAIII_V3::TC14,-3.123657315864311,-41.764142481223175,83.0,"[(-3.123663642118413, -41.764150188694224), (-3.1236509896102085, -41.76413477375213)]","[(-3.123663642118413, -41.764150188694224), (-3.1236509896102085, -41.76413477375213)]",-51.01919267007837,43.852143748009446,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc14
ARGO_PARNAIBAIII_V3::TC13,-3.123724051450452,-41.76414236650663,83.0,"[(-3.1237303777045544, -41.764150073977675), (-3.1237177251963497, -41.764134659035584)]","[(-3.1237303777045544, -41.764150073977675), (-3.1237177251963497, -41.764134659035584)]",-58.448121041155886,43.86489489400704,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc13
ARGO_PARNAIBAIII_V3::TC12,-3.1235907954892816,-41.76437337720039,83.0,"[(-3.123597121743384, -41.76438108467144), (-3.123584469235179, -41.76436566972935)]","[(-3.123597121743384, -41.76438108467144), (-3.123584469235179, -41.76436566972935)]",-43.61422135142463,18.18724722409734,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc12
ARGO_PARNAIBAIII_V3::TC11,-3.123657711257657,-41.764373262174914,83.0,"[(-3.1236640375117597, -41.76438096964596), (-3.1236513850035545, -41.76436555470387)]","[(-3.1236640375117597, -41.76438096964596), (-3.1236513850035545, -41.76436555470387)]",-51.06320740071358,18.200032708925068,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc11
ARGO_PARNAIBAIII_V3::TC10,-3.123724446980871,-41.76437314749269,83.0,"[(-3.1237307732349735, -41.76438085496373), (-3.123718120726769, -41.76436544002164)]","[(-3.1237307732349735, -41.76438085496373), (-3.123718120726769, -41.76436544002164)]",-58.49215103058143,18.2127800402304,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc10
ARGO_PARNAIBAIII_V3::TC1,-3.123979408853738,-41.76469390948102,83.0,"[(-3.1239857351078406, -41.76470161695206), (-3.1239730825996355, -41.76468620200997)]","[(-3.1239857351078406, -41.76470161695206), (-3.1239730825996355, -41.76468620200997)]",-86.87421224261573,-17.441038351895088,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc1
ARGO_PARNAIBAIII_V3::SECV9,-3.123841361722325,-41.764519878207295,79.0,"[(-3.123846300868073, -41.764529675406465), (-3.123836422576578, -41.764510081008126)]","[(-3.123846300868073, -41.764529675406465), (-3.123836422576578, -41.764510081008126)]",-71.50696501527204,1.9031472237021632,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv9
ARGO_PARNAIBAIII_V3::SECV8,-3.1239097155560227,-41.76451976072752,79.0,"[(-3.12391465470177, -41.76452955792669), (-3.123904776410275, -41.764509963528354)]","[(-3.12391465470177, -41.76452955792669), (-3.123904776410275, -41.764509963528354)]",-79.11603483522383,1.916205511698948,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv8
ARGO_PARNAIBAIII_V3::SECV7,-3.1239773087725893,-41.76451964455213,79.0,"[(-3.123982247918337, -41.7645294417513), (-3.123972369626842, -41.76450984735296)]","[(-3.123982247918337, -41.7645294417513), (-3.123972369626842, -41.76450984735296)]",-86.64043363471517,1.929118813529584,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv7
ARGO_PARNAIBAIII_V3::SECV6,-3.123591021180008,-41.76510945854917,79.0,"[(-3.1235959603257557, -41.76511925574834), (-3.1235860820342607, -41.76509966134999)]","[(-3.1235959603257557, -41.76511925574834), (-3.1235860820342607, -41.76509966134999)]",-43.63934498244653,-63.63077263464013,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv6
ARGO_PARNAIBAIII_V3::SECV5,-3.1236593749109005,-41.7651093411552,79.0,"[(-3.123664314056648, -41.765119138354365), (-3.123654435765153, -41.765099543956026)]","[(-3.123664314056648, -41.765119138354365), (-3.123654435765153, -41.765099543956026)]",-51.248403358309616,-63.61772388339024,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv5
ARGO_PARNAIBAIII_V3::SECV4,-3.1237277288474026,-41.765109223623945,79.0,"[(-3.12373266799315, -41.765119020823114), (-3.123722789701655, -41.765099426424776)]","[(-3.12373266799315, -41.765119020823114), (-3.123722789701655, -41.765099426424776)]",-58.85748462235132,-63.604659873343806,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv4
ARGO_PARNAIBAIII_V3::SECV3,-3.1238423713188865,-41.76510902659432,79.0,"[(-3.123847310464634, -41.765118823793486), (-3.123837432173139, -41.76509922939515)]","[(-3.123847310464634, -41.765118823793486), (-3.123837432173139, -41.76509922939515)]",-71.61935213838838,-63.58275934052595,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv3
ARGO_PARNAIBAIII_V3::SECV2,-3.1239107252896567,-41.765108909063066,79.0,"[(-3.1239156644354042, -41.765118706262236), (-3.1239057861439092, -41.7650991118639)]","[(-3.1239156644354042, -41.765118706262236), (-3.1239057861439092, -41.7650991118639)]",-79.22843721712734,-63.56969533047826,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv2
ARGO_PARNAIBAIII_V3::SECV15,-3.1235886425820345,-41.76372145599275,79.0,"[(-3.123593581727782, -41.76373125319193), (-3.123583703436287, -41.76371165879358)]","[(-3.123593581727782, -41.76373125319193), (-3.123583703436287, -41.76371165879358)]",-43.37456220325038,90.6505726462701,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv15
ARGO_PARNAIBAIII_V3::SECV14,-3.123656996312927,-41.76372133846151,79.0,"[(-3.1236619354586743, -41.76373113566068), (-3.1236520571671793, -41.76371154126233)]","[(-3.1236619354586743, -41.76373113566068), (-3.1236520571671793, -41.76371154126233)]",-50.98362057910848,90.66363665630904,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv14
ARGO_PARNAIBAIII_V3::SECV13,-3.123725350180892,-41.763721221067534,79.0,"[(-3.1237302893266397, -41.763731018266704), (-3.123720411035145, -41.763711423868365)]","[(-3.1237302893266397, -41.763731018266704), (-3.123720411035145, -41.763711423868365)]",-58.592694213760645,90.67668540756392,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv13
ARGO_PARNAIBAIII_V3::SECV12,-3.123590011514911,-41.76452031024794,79.0,"[(-3.123594950660658, -41.76453010744711), (-3.1235850723691634, -41.76451051304877)]","[(-3.123594950660658, -41.76453010744711), (-3.1235850723691634, -41.76451051304877)]",-43.52695022993878,1.8551243928423349,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv12
ARGO_PARNAIBAIII_V3::SECV11,-3.123658365382876,-41.76452019275101,79.0,"[(-3.1236633045286233, -41.76452998995018), (-3.1236534262371287, -41.76451039555184)]","[(-3.1236633045286233, -41.76452998995018), (-3.1236534262371287, -41.76451039555184)]",-51.1360238645872,1.868184588188996,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv11
ARGO_PARNAIBAIII_V3::SECV10,-3.123726719182305,-41.76452007527124,79.0,"[(-3.1237316583280523, -41.76452987247041), (-3.1237217800365573, -41.764510278072066)]","[(-3.1237316583280523, -41.76452987247041), (-3.1237217800365573, -41.764510278072066)]",-58.745089869841706,1.8812428761845368,2.177986,1.09964,ef_argo_parnaibaiii_v3_secv10
