Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC9,-3.123586944335163,-41.76303827653087,79.0,"[(-3.123593931279735, -41.76304605408158), (-3.1235799573905907, -41.763030498980164)]","[(-3.123593931279735, -41.76304605408158), (-3.1235799573905907, -41.763030498980164)]",-43.18552,166.58836,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc9
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC8,-3.123656999722428,-41.76303815625353,79.0,"[(-3.123663986667, -41.76304593380424), (-3.123650012777856, -41.76303037870282)]","[(-3.123663986667, -41.76304593380424), (-3.123650012777856, -41.76303037870282)]",-50.984,166.60173,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc8
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC7,-3.123722705754548,-41.763038043116005,79.0,"[(-3.12372969269912, -41.76304582066671), (-3.1237157188099753, -41.7630302655653)]","[(-3.12372969269912, -41.76304582066671), (-3.1237157188099753, -41.7630302655653)]",-58.29832,166.61431,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc7
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC6,-3.123592178250056,-41.76585691835376,77.0,"[(-3.123599165194628, -41.76586469590447), (-3.1235851913054837, -41.765849140803056)]","[(-3.123599165194628, -41.76586469590447), (-3.1235851913054837, -41.765849140803056)]",-43.76815,-146.71355,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc6
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC5,-3.123660602162237,-41.76585680054794,77.0,"[(-3.1236675891068093, -41.76586457809864), (-3.123653615217665, -41.76584902299723)]","[(-3.1236675891068093, -41.76586457809864), (-3.123653615217665, -41.76584902299723)]",-51.38502,-146.70045,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc5
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC4,-3.123727691704692,-41.76585668548808,77.0,"[(-3.123734678649264, -41.76586446303879), (-3.12372070476012, -41.765848907937375)]","[(-3.123734678649264, -41.76586446303879), (-3.12372070476012, -41.765848907937375)]",-58.85335,-146.68766,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc4
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC3,-3.123846207751531,-41.76585648173063,77.0,"[(-3.1238531946961032, -41.76586425928134), (-3.1238392208069587, -41.76584870417992)]","[(-3.1238531946961032, -41.76586425928134), (-3.1238392208069587, -41.76584870417992)]",-72.04642,-146.66502,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc3
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC2,-3.123914315059744,-41.765856364748565,77.0,"[(-3.1239213020043164, -41.76586414229927), (-3.1239073281151724, -41.76584858719786)]","[(-3.1239213020043164, -41.76586414229927), (-3.1239073281151724, -41.76584858719786)]",-79.62805,-146.65201,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc2
ARGO_PARNAIBAIII_V3::ECHO_FOX::TPC1,-3.1239821030568016,-41.765856248315714,77.0,"[(-3.123989090001374, -41.76586402586642), (-3.1239751161122293, -41.76584847076501)]","[(-3.123989090001374, -41.76586402586642), (-3.1239751161122293, -41.76584847076501)]",-87.17413,-146.63907,1.729004,1.5555572,ef_argo_parnaibaiii_v3_tpc1
ARGO_PARNAIBAIII_V3::ECHO_FOX::TC9,-3.123843607886836,-41.76437294270545,83.0,"[(-3.1238499341409387, -41.76438065017649), (-3.1238372816327336, -41.76436523523441)]","[(-3.1238499341409387, -41.76438065017649), (-3.1238372816327336, -41.76436523523441)]",-71.75701,18.23554,1.7134248,1.4084626,ef_argo_parnaibaiii_v3_tc9
