Model Name,Latitude,Longitude,Altitude,Vx,Vy,Py,Px,Vx_largura,Vy_altura,ID
SVC,-3.1232056179155303,-41.76452632739855,76,"[(-3.1232101170696893, -41.76453082563569), (-3.1232011187613713, -41.7645218291614)]","[(-3.1232101170696893, -41.76453082563569), (-3.1232011187613713, -41.7645218291614)]",-0.7354621887207031,1.1863093376159668,1.0,1.0,ef_svc
TPC9,-3.1216999866790065,-41.76414848213214,79,"[(-3.1217069853706523, -41.76415625960215), (-3.1216929879873603, -41.76414070466213)]","[(-3.1217069853706523, -41.76415625960215), (-3.1216929879873603, -41.76414070466213)]",166.58834838867188,43.185569763183594,1.729004,1.5555572,ef_tpc9
TPC8,-3.121699866401326,-41.76407832326416,79,"[(-3.1217068650929716, -41.76408610073417), (-3.1216928677096796, -41.76407054579415)]","[(-3.1217068650929716, -41.76408610073417), (-3.1216928677096796, -41.76407054579415)]",166.60171508789062,50.98405456542969,1.729004,1.5555572,ef_tpc8
TPC7,-3.1216997532634156,-41.76401252017587,79,"[(-3.121706751955062, -41.76402029764588), (-3.12169275457177, -41.76400474270586)]","[(-3.121706751955062, -41.76402029764588), (-3.12169275457177, -41.76400474270586)]",166.61428833007812,58.29837417602539,1.729004,1.5555572,ef_tpc7
TPC6,-3.1245191738654188,-41.764143241407204,77,"[(-3.124526172557065, -41.764151018877214), (-3.124512175173773, -41.76413546393719)]","[(-3.124526172557065, -41.764151018877214), (-3.124512175173773, -41.76413546393719)]",-146.71356201171875,43.76810073852539,1.729004,1.5555572,ef_tpc6
TPC5,-3.124519056059197,-41.7640747164242,77,"[(-3.1245260547508433, -41.76408249389421), (-3.1245120573675513, -41.76406693895419)]","[(-3.1245260547508433, -41.76408249389421), (-3.1245120573675513, -41.76406693895419)]",-146.70046997070312,51.384971618652344,1.729004,1.5555572,ef_tpc5
TPC4,-3.1245189409990415,-41.76400752778195,77,"[(-3.1245259396906873, -41.76401530525197), (-3.1245119423073957, -41.76399975031194)]","[(-3.1245259396906873, -41.76401530525197), (-3.1245119423073957, -41.76399975031194)]",-146.68768310546875,58.853302001953125,1.729004,1.5555572,ef_tpc4
TPC3,-3.1245187372409613,-41.76388883667183,77,"[(-3.124525735932607, -41.76389661414185), (-3.124511738549315, -41.76388105920182)]","[(-3.124525735932607, -41.76389661414185), (-3.124511738549315, -41.76388105920182)]",-146.6650390625,72.04637145996094,1.729004,1.5555572,ef_tpc3
TPC2,-3.1245186202585593,-41.76382062876046,77,"[(-3.1245256189502055, -41.76382840623047), (-3.1245116215669135, -41.763812851290446)]","[(-3.1245256189502055, -41.76382840623047), (-3.1245116215669135, -41.763812851290446)]",-146.65203857421875,79.62799835205078,1.729004,1.5555572,ef_tpc2
TPC1,-3.124518503825371,-41.76375274063191,77,"[(-3.1245255025170167, -41.76376051810192), (-3.1245115051337247, -41.7637449631619)]","[(-3.1245255025170167, -41.76376051810192), (-3.1245115051337247, -41.7637449631619)]",-146.63909912109375,87.17407989501953,1.729004,1.5555572,ef_tpc1
TC9,-3.1230349111740168,-41.76389143989205,83,"[(-3.123041248064381, -41.76389914728313), (-3.1230285742836523, -41.76388373250097)]","[(-3.123041248064381, -41.76389914728313), (-3.1230285742836523, -41.76388373250097)]",18.235519409179688,71.75701141357422,1.7134248,1.4084626,ef_tc9
TC8,-3.123034792681279,-41.763822423635055,83,"[(-3.1230411295716434, -41.76383013102613), (-3.123028455790914, -41.76381471624398)]","[(-3.1230411295716434, -41.76383013102613), (-3.123028455790914, -41.76381471624398)]",18.248687744140625,79.4284896850586,1.7134248,1.4084626,ef_tc8
TC7,-3.123034678719549,-41.763755989595154,83,"[(-3.123041015609914, -41.76376369698623), (-3.1230283418291847, -41.76374828220408)]","[(-3.123041015609914, -41.76376369698623), (-3.1230283418291847, -41.76374828220408)]",18.2613525390625,86.81294250488281,1.7134248,1.4084626,ef_tc7
TC6,-3.1233566070981524,-41.764144074702614,83,"[(-3.123362943988517, -41.76415178209369), (-3.1233502702077875, -41.764136367311536)]","[(-3.123362943988517, -41.76415178209369), (-3.1233502702077875, -41.764136367311536)]",-17.51519203186035,43.67547607421875,1.7134248,1.4084626,ef_tc6
TC5,-3.1233564920894854,-41.764077060022494,83,"[(-3.12336282897985, -41.76408476741357), (-3.1233501551991205, -41.76406935263142)]","[(-3.12336282897985, -41.76408476741357), (-3.1233501551991205, -41.76406935263142)]",-17.502410888671875,51.12446975708008,1.7134248,1.4084626,ef_tc5
TC4,-3.1233563773725876,-41.76401022572213,83,"[(-3.1233627142629525, -41.7640179331132), (-3.123350040482223, -41.764002518331054)]","[(-3.1233627142629525, -41.7640179331132), (-3.123350040482223, -41.764002518331054)]",-17.489662170410156,58.55341339111328,1.7134248,1.4084626,ef_tc4
TC3,-3.12335617256757,-41.763890888868985,83,"[(-3.1233625094579347, -41.763898596260056), (-3.1233498356772054, -41.76388318147791)]","[(-3.1233625094579347, -41.763898596260056), (-3.1233498356772054, -41.76388318147791)]",-17.466901779174805,71.8182601928711,1.7134248,1.4084626,ef_tc3
TC2,-3.1233560541263206,-41.763821872611985,83,"[(-3.1233623910166854, -41.76382958000306), (-3.123349717235956, -41.76381416522091)]","[(-3.1233623910166854, -41.76382958000306), (-3.123349717235956, -41.76381416522091)]",-17.453739166259766,79.48973846435547,1.7134248,1.4084626,ef_tc2
TC15,-3.12280452003168,-41.764145021696294,83,"[(-3.1228108569220443, -41.76415272908737), (-3.1227981831413154, -41.764137314305216)]","[(-3.1228108569220443, -41.76415272908737), (-3.1227981831413154, -41.764137314305216)]",43.83934783935547,43.570213317871094,1.7134248,1.4084626,ef_tc15
TC14,-3.1228044050401755,-41.764078007016174,83,"[(-3.1228107419305404, -41.76408571440725), (-3.122798068149811, -41.764070299625104)]","[(-3.1228107419305404, -41.76408571440725), (-3.122798068149811, -41.764070299625104)]",43.85212707519531,51.01920700073242,1.7134248,1.4084626,ef_tc14
TC13,-3.122804290323278,-41.76401117285308,83,"[(-3.1228106272136427, -41.76401888024416), (-3.1227979534329138, -41.76400346546201)]","[(-3.1228106272136427, -41.76401888024416), (-3.1227979534329138, -41.76400346546201)]",43.86487579345703,58.44813537597656,1.7134248,1.4084626,ef_tc13
TC12,-3.1230353456702735,-41.76414462572568,83,"[(-3.123041682560638, -41.764152333116755), (-3.1230290087799086, -41.76413691833461)]","[(-3.123041682560638, -41.764152333116755), (-3.1230290087799086, -41.76413691833461)]",18.187232971191406,43.614227294921875,1.7134248,1.4084626,ef_tc12
TC11,-3.1230352306444433,-41.7640776111142,83,"[(-3.1230415675348078, -41.76408531850528), (-3.123028893754079, -41.764069903723126)]","[(-3.1230415675348078, -41.76408531850528), (-3.123028893754079, -41.764069903723126)]",18.200016021728516,51.06321334838867,1.7134248,1.4084626,ef_tc11
TC10,-3.1230351159618714,-41.764010776813834,83,"[(-3.1230414528522363, -41.76401848420491), (-3.123028779071507, -41.764003069422756)]","[(-3.1230414528522363, -41.76401848420491), (-3.123028779071507, -41.764003069422756)]",18.21276092529297,58.492156982421875,1.7134248,1.4084626,ef_tc10
TC1,-3.1233559400959394,-41.763755438434806,83,"[(-3.1233622769863043, -41.763763145825884), (-3.123349603205575, -41.76374773104373)]","[(-3.1233622769863043, -41.763763145825884), (-3.123349603205575, -41.76374773104373)]",-17.44106674194336,86.87420654296875,1.7134248,1.4084626,ef_tc1
SECV9,-3.12318187510478,-41.763893689422446,79,"[(-3.1231868225546595, -41.76390348651997), (-3.1231769276549004, -41.76388389232493)]","[(-3.1231868225546595, -41.76390348651997), (-3.1231769276549004, -41.76388389232493)]",1.9031238555908203,71.50696563720703,2.177986,1.09964,ef_secv9
SECV8,-3.123181757624654,-41.76382523462144,79,"[(-3.123186705074533, -41.76383503171896), (-3.1231768101747743, -41.763815437523924)]","[(-3.123186705074533, -41.76383503171896), (-3.1231768101747743, -41.763815437523924)]",1.9161796569824219,79.11603546142578,2.177986,1.09964,ef_secv8
SECV7,-3.123181641448909,-41.76375754156109,79,"[(-3.123186588898788, -41.76376733865862), (-3.1231766939990293, -41.76374774446357)]","[(-3.123186588898788, -41.76376733865862), (-3.1231766939990293, -41.76374774446357)]",1.9290904998779297,86.64043426513672,2.177986,1.09964,ef_secv7
SECV6,-3.123771569439007,-41.764144399942126,79,"[(-3.1237765168888867, -41.764154197039645), (-3.123766621989128, -41.76413460284461)]","[(-3.1237765168888867, -41.764154197039645), (-3.123766621989128, -41.76413460284461)]",-63.63078689575195,43.63932418823242,2.177986,1.09964,ef_secv6
SECV5,-3.1237714520446955,-41.76407594524407,79,"[(-3.123776399494575, -41.7640857423416), (-3.123766504594816, -41.764066148146554)]","[(-3.123776399494575, -41.7640857423416), (-3.123766504594816, -41.764066148146554)]",-63.617740631103516,51.248382568359375,2.177986,1.09964,ef_secv5
SECV4,-3.1237713345130804,-41.76400749034011,79,"[(-3.12377628196296, -41.76401728743763), (-3.1237663870632013, -41.763997693242594)]","[(-3.12377628196296, -41.76401728743763), (-3.1237663870632013, -41.763997693242594)]",-63.604679107666016,58.85746383666992,2.177986,1.09964,ef_secv4
SECV3,-3.1237711374828616,-41.763892678527114,79,"[(-3.123776084932741, -41.76390247562463), (-3.123766190032982, -41.763882881429595)]","[(-3.123776084932741, -41.76390247562463), (-3.123766190032982, -41.763882881429595)]",-63.58278274536133,71.61933135986328,2.177986,1.09964,ef_secv3
SECV2,-3.1237710199512465,-41.763824223588834,79,"[(-3.123775967401126, -41.76383402068635), (-3.123766072501367, -41.76381442649131)]","[(-3.123775967401126, -41.76383402068635), (-3.123766072501367, -41.76381442649131)]",-63.56972122192383,79.2284164428711,2.177986,1.09964,ef_secv2
SECV15,-3.1223832983256696,-41.764146781600004,79,"[(-3.122388245775549, -41.76415657869752), (-3.12237835087579, -41.76413698450248)]","[(-3.122388245775549, -41.76415657869752), (-3.12237835087579, -41.76413698450248)]",90.65055847167969,43.37459182739258,2.177986,1.09964,ef_secv15
SECV14,-3.1223831807940545,-41.76407832690195,79,"[(-3.122388128243934, -41.76408812399947), (-3.1223782333441754, -41.76406852980443)]","[(-3.122388128243934, -41.76408812399947), (-3.1223782333441754, -41.76406852980443)]",90.66361999511719,50.98365020751953,2.177986,1.09964,ef_secv14
