margin,threshold,nodes,edges,components,density,isolated_nodes,largest_component_ratio,fragmentation_index,time_s
1.50000,10,6471,11263,13,0.00054,0,0.95766,0.04234,978.47519
1.50000,20,6048,10574,8,0.00058,0,0.95966,0.04034,406.47612
1.50000,30,5659,9918,10,0.00062,0,0.89574,0.10426,203.43066
1.50000,40,5288,9238,13,0.00066,0,0.91641,0.08359,168.53133
1.50000,50,4672,8188,12,0.00075,0,0.92808,0.07192,102.16166
2.00000,10,5618,9761,36,0.00062,0,0.88323,0.11677,1426.14207
2.00000,20,4817,8565,30,0.00074,0,0.69566,0.30434,332.09483
2.00000,30,4190,7410,27,0.00084,0,0.71313,0.28687,143.57601
2.00000,40,3780,6519,22,0.00091,0,0.73704,0.26296,101.20623
2.00000,50,3555,6151,15,0.00097,0,0.73024,0.26976,60.47703
2.50000,10,4949,8556,68,0.00070,0,0.63770,0.36230,2077.53555
2.50000,20,4021,7134,47,0.00088,0,0.67471,0.32529,339.69209
2.50000,30,3275,5647,34,0.00105,0,0.66870,0.33130,134.37126
2.50000,40,2756,4567,28,0.00120,0,0.71045,0.28955,62.50719
2.50000,50,2413,3924,19,0.00135,0,0.73767,0.26233,32.63880
3.00000,10,4231,7322,102,0.00082,0,0.59253,0.40747,1807.37973
3.00000,20,3256,5667,63,0.00107,0,0.66400,0.33600,351.58866
3.00000,30,2470,4237,32,0.00139,0,0.72024,0.27976,91.45320
3.00000,40,1985,3315,20,0.00168,0,0.79244,0.20756,36.07201
3.00000,50,1773,2861,14,0.00182,0,0.78680,0.21320,22.38681
3.50000,10,3044,5475,59,0.00118,0,0.63502,0.36498,870.22894
3.50000,20,2332,4154,40,0.00153,0,0.67667,0.32333,180.86168
3.50000,30,1813,3218,24,0.00196,0,0.74076,0.25924,42.14547
3.50000,40,1553,2739,16,0.00227,0,0.77270,0.22730,17.23721
3.50000,50,1351,2313,13,0.00254,0,0.81125,0.18875,9.59772
