timestamp(ms),GPS[0].Spd,ATT.Yaw,IMU[0].GyrZ
0,0.03100000136,60.94,-0.01629710756
100,1.076000094,60.76,-0.03946951404
200,1.076000094,60.87,0.02211305685
300,1.375000119,60.95,0.001909601153
400,1.375000119,61.08,0.02623193152
500,1.492000103,61.28,0.05072101206
600,1.492000103,60.82,-0.05739760399
700,1.59100008,60.78,-0.003239116166
800,1.59100008,60.74,0.0087866541
900,1.606000066,60.48,-0.02619348653
1000,1.606000066,60.74,0.04583074152
1100,1.627000093,60.59,0.01153766643
1200,1.627000093,60.34,-0.0391882658
1300,1.587000132,60.31,0.01129352022
1400,1.587000132,60.5,0.03662026301
1500,1.548000097,60.6,0.03772189468
1600,1.548000097,60.56,0.005483605899
1700,1.805000067,60.45,-0.0245528128
1800,1.805000067,60.59,0.01607844792
1900,1.676000118,60.35,-0.03250439838
2000,1.676000118,60.1,-0.02975412644
2100,1.724000096,59.58,-0.08885988593
2200,1.724000096,59.09,-0.09924673289
2300,0.8650000691,59.15,0.0131441867
2400,0.8650000691,59.17,0.01154703926
2500,1.518000126,59.33,0.02105635777
2600,1.518000126,59.8,0.08267651498
2700,1.822000146,59.84,0.01109400671
2800,1.822000146,59.9,0.01574910432
2900,1.749000072,60.16,0.04757160321
3000,1.749000072,60.63,0.09274055064
3100,1.611000061,60.93,0.06752397865
3200,1.611000061,61.04,0.0237720646
3300,1.654000044,61.39,0.06170863658
3400,1.654000044,61.86,0.09231461585
3500,1.540000081,62.06,0.06237794086
3600,1.540000081,62.02,-0.006948468741
3700,1.496000051,62.16,0.04218313843
3800,1.496000051,62.02,0.005222460255
3900,0.04300000146,62.35,0.05763919652
4000,0.04300000146,64.03,0.2845084071
4100,0.8670000434,65.82,0.3362684846
4200,0.8670000434,68.1,0.4226062
4300,0.9640000463,69.84,0.2975975275
4400,0.9640000463,71.34,0.2874550521
4500,1.053000093,72.51,0.2171420902
4600,1.053000093,73.47,0.1646292061
4700,1.062000036,74.56,0.1811708957
4800,1.062000036,76.11,0.2565599978
4900,1.059000015,77.29,0.2428031266
5000,1.059000015,78.51,0.193405509
5100,0.9930000305,79.89,0.2300669849
5200,0.9930000305,81.79,0.3478044868
5300,0.8540000319,83.48,0.3034073412
5400,0.8540000319,84.88,0.2544081807
5500,0.6370000243,85.2,0.09249521047
5600,0.6370000243,85.33,0.01955791749
5700,1.309000015,86.5,0.2093543857
5800,1.309000015,87.31,0.1585958153
5900,1.403000116,88.2,0.1731212288
6000,1.403000116,88.97,0.1471921504
6100,1.460000038,90.03,0.1822031587
6200,1.460000038,91.16,0.2179214656
6300,1.332000017,92.13,0.164529115
6400,1.332000017,93.26,0.2123262286
6500,1.404000044,94.58,0.2230105549
6600,1.404000044,96.13,0.3024866581
6700,1.557000041,97.29,0.2077272534
6800,1.557000041,98.25,0.1851601601
6900,1.504000068,99.31,0.188963443
7000,1.504000068,100.32,0.1862604618
7100,1.455000043,101.88,0.2872745991
7200,1.455000043,83.5,0.238072589
7300,1.442000031,84,0.1214040518
7400,1.442000031,84.73,0.1504489779
7500,0.1380000114,86.08,0.2675726414
7600,0.1380000114,88.18,0.3813213408
7700,0.7790000439,90.06,0.3290202618
7800,0.7790000439,91.46,0.2145951539
7900,0.8580000401,92.04,0.06646241993
8000,0.8580000401,93.26,0.1343066245
8100,0.9370000362,94,0.08389282227
8200,0.9370000362,95,0.08840529621
8300,1.09100008,96.22,0.1527968645
8400,1.09100008,97.51,0.1720777154
8500,1.164000034,98.33,0.10095153
8600,1.164000034,99.31,0.1220320165
8700,1.032000065,99.93,0.1061440632
8800,1.032000065,100.69,0.1183124706
8900,1.09100008,101.24,0.1048319265
9000,1.09100008,102.18,0.1718057841
9100,0.9360000491,102.88,0.1484970003
9200,0.9360000491,103.67,0.1640233099
9300,1.964000106,103.86,0.0522871986
9400,1.964000106,104.48,0.1155710891
9500,1.388000011,105.23,0.1570396721
9600,1.388000011,105.68,0.1197149828
9700,0.227000013,106.38,0.1223942786
9800,0.227000013,107.28,0.1915928721
9900,0.935000062,107.95,0.1400065124
10000,0.935000062,108.65,0.1384179443
10100,1.393000007,109.83,0.2236119211
10200,1.393000007,110.76,0.1854149997
10300,1.57400012,111.66,0.1728840023
10400,1.57400012,112.47,0.1655712426
10500,1.943000078,113.25,0.1459366083
10600,1.943000078,114.41,0.2083786577
10700,1.587000132,115.35,0.1952631325
10800,1.587000132,115.86,0.1119509637
10900,0.1600000113,115.88,0.009845531546
11000,0.1600000113,116,0.0444333069
11100,0.8670000434,116,0.01421401463
11200,0.8670000434,116.68,0.1044089347
11300,1.259000063,117.34,0.1322697699
11400,1.259000063,117.81,0.08799128979
11500,1.606000066,118.11,0.09115917981
11600,1.606000066,118.27,0.03049251437
11700,1.605000019,118.57,0.07842476666
11800,1.605000019,119.03,0.06717667729
11900,1.633000135,119.58,0.1016441509
12000,1.633000135,120.29,0.1455263644
12100,1.773000121,120.67,0.0747705996
12200,1.773000121,121.51,0.1406149417
12300,1.685000062,122.41,0.1646568328
12400,1.685000062,123.94,0.2390582561
12500,1.356000066,127.25,0.5950468779
