id,label,tipo,x_cartesiano,y_cartesiano,latitude,longitude
1,BUSIP31.002.2228,equipamento,-114.9473,-38.6563,-3.1234865869446566,-41.765474506440576
2,BUSIP31.002.2230,equipamento,-114.9473,-31.6075,-3.1234231596689845,-41.765474506440576
3,BUSCSB5.002.2377,equipamento,-114.8644,-55.2992,-3.123636344890163,-41.7654737606329
4,BUSCSB5.002.2374,equipamento,-114.8644,-48.2992,-3.123573356731937,-41.7654737606329
5,BUSIP40.002.2154,equipamento,-114.7899,75.0531,-3.122463394704798,-41.76547309039561
6,BUSIP40.002.2152,equipamento,-114.7899,82.0531,-3.1224004065465714,-41.76547309039561
7,BUSIP24.002.2251,equipamento,-114.701,-47.1058,-3.12356261815079,-41.76547229060909
8,BUSIP24.002.2250,equipamento,-114.701,-40.1058,-3.1234996299925637,-41.76547229060909
9,BUSIP4.002.2141,equipamento,-111.7426,-111.313,-3.1241403743326277,-41.76544567544109
10,BUSIP8.002.2147,equipamento,-111.7426,-103.3962,-3.1240691365253355,-41.76544567544109
11,BUSIP8.002.2142,equipamento,-111.7426,-98.1184,-3.1240216452536944,-41.76544567544109
12,BUSIP12.002.2137,equipamento,-111.7426,-92.8406,-3.123974153982054,-41.76544567544109
13,BUSIP12.002.2135,equipamento,-109.9473,-92.8406,-3.123974153982054,-41.765429524071735
14,BUSCSB5.002.2379,equipamento,-109.9473,-55.2992,-3.123636344890163,-41.765429524071735
15,BUSCSB5.002.2376,equipamento,-109.9473,-48.2992,-3.123573356731937,-41.765429524071735
16,BUSIP24.002.2245,equipamento,-109.9473,-47.1058,-3.12356261815079,-41.765429524071735
17,BUSIP24.002.2247,equipamento,-109.9473,-40.1058,-3.1234996299925637,-41.765429524071735
18,BUSIP31.002.2244,equipamento,-109.9473,-38.6563,-3.1234865869446566,-41.765429524071735
19,BUSIP31.002.2242,equipamento,-109.9473,-31.6075,-3.1234231596689845,-41.765429524071735
20,BUSIP40.002.2151,equipamento,-109.9473,75.0531,-3.122463394704798,-41.765429524071735
